Nitawade-meter,Nitawade-cusecs,Balinge-meter,Balinge-cusecs,Shingnapur-meter,Shingnapur-cusecs,RB-Meter,RB-visarg-cusecs,Ichalkaranji-meter,Ichalkaranji-cusecs
541.9951883,20177,540.38,20961,541,20988,538.08,21021,541,19667
542.0131457,19854,540.08,20793,538.05,20856,538.06,20889,539.75,19542
541.6007273,19588,539.77,20421,540.3,20465,537.98,20495,539,19216
541.2369407,19524,539.62,20307,540.2,20325,537.96,20363,547,19096
542.3539673,19469,540.69,20149,540.1,20173,537.95,20232,541,18879
541.4974491,19455,540.23,20055,537.8,20133,537.93,20232,541,19163
541.4576237,18923,540.08,19613,540.1,19657,537.83,19706,539,18371
541.4281969,19081,539.47,19609,537.3,19645,537.83,19706,543.5,18630
541.6419785,18783,539.77,19503,540.04,19558,537.8,19575,542,18185
541.4287971,18495,539.47,19377,538.5,19475,537.8,19575,541,18575
542.5102502,18757,540.99,19475,540,19517,537.8,19575,543.5,18233
540.9402406,18669,539.16,19499,538.5,19561,537.8,19575,543.25,18370
541.0140849,18047,539.77,18897,540.02,18984,537.7,19049,542.25,17565
540.9140954,18369,539.47,18962,539.08,18989,537.7,19049,542,17690
541.4703703,18109,539.47,18681,539,18737,537.65,18787,542,17374
541.7624438,17651,540.38,18628,540,18714,537.65,18787,542,17358
542.05292,18135,540.54,18720,538.1,18758,537.65,18787,542,17504
541.3295084,18011,540.08,18770,539.5,18785,537.65,18787,542.8333333,17458
542.0888798,18138,540.38,18702,538.8,18785,537.65,18786,540.5,17297
541.6525027,17599,540.08,18446,539.6,18505,537.6,18524,543,17072
541.2165846,17850,539.93,18438,538.2,18459,537.6,18524,542,17481
542.1309666,17699,540.38,18324,538.9,18386,537.58,18392,541,17351
542.0405307,17589,540.08,18297,540.7,18349,537.58,18392,538,17315
540.4637662,17726,539.16,18326,538.5,18333,537.58,18392,542.5,17298
541.3775927,17254,539.47,18250,539.5,18304,537.53,18330,540.5,16850
541.5314012,17211,540.08,18138,538,18192,537.55,18261,540.25,17123
541.7073383,16932,539.77,17930,539.5,17978,537.5,17998,540,16731
540.9276944,17004,539.47,17876,540.1,17912,537.5,17998,540,16778
541.1418991,17154,539.77,17768,540,17819,537.47,17867,539,16550
540.2868916,16991,538.86,17779,538.4,17783,537.47,17867,541.75,16735
539.9183038,17048,538.56,17703,538.5,17767,537.47,17867,537.5,16837
540.6052963,16929,538.86,17689,529.6,17716,537.45,17735,542,16248
541.2863576,16679,539.47,17313,538,17390,537.4,17473,542,16117
541.1302799,16840,539.77,17349,538,17374,537.4,17473,541.5,16369
541.1533199,16450,539.77,17187,538.05,17191,537.35,17210,541,16165
541.5120518,16526,540.08,17072,538.02,17120,537.35,17210,541,15979
542.0958345,16515,540.08,17087,538.5,17117,537.35,17210,540.5,15995
541.194874,15930,539.32,16815,538.8,16875,537.3,16947,540,15496
540.5881098,16025,538.86,16741,538.5,16764,537.27,16816,540,15388
540.9104377,15805,539.16,16712,538.8,16749,537.27,16816,540,15572
540.3560573,16103,539.01,16709,538.5,16727,537.27,16816,538.5,15425
541.0313509,15639,539.47,16599,539.02,16666,537.25,16684,538,15648
541.7420615,15675,539.77,16606,539,16628,537.25,16684,541,15225
540.8184126,16043,539.16,16552,540.3,16646,537.25,16684,540.75,15630
542.3212902,15436,540.38,16335,540,16343,537.2,16421,540.75,15254
540.7549892,15552,539.16,16385,538.7,16399,537.2,16421,539,15213
540.4134377,15764,538.56,16271,538.5,16350,537.2,16421,539,15342
539.4849277,15436,538.25,16193,539,16289,537.17,16322,536,14910
541.0731403,15327,539.32,15983,539.2,16061,537.12,16123,540.5,14983
541.9283959,15297,540.38,15841,538,15929,537.09,16024,540,14532
540.8533334,15256,538.86,15764,539,15785,537.04,15826,537.75,14442
540.769249,14752,539.47,15713,538,15754,537.04,15826,539.75,14445
541.2771463,15064,539.93,15735,538.2,15743,537.04,15826,538,14703
541.0261124,15034,539.16,15604,538.3,15657,537.02,15726,539,14705
540.6356582,14757,538.86,15639,538.5,15675,537.02,15726,544.1666667,14353
